PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,99487,98014
BP11,118351,93314
BP12,97816,74485
BP13,41430,33955
BP2,94784,74393
BP3,134547,112560
BP4,104355,102777
BP5,66299,56688
BP6/DT1,1191839,1247214
BP7,35759,35155
BP8,58903,58701
BP9,70252,69273
CC10/DT26,499800,476633
CC11,552437,563606
CC12,223536,200540
CC14,226743,218407
CC16,239706,235715
CC17/TE9,234051,215136
CC19/DT9,196726,209627
CC2,157953,169953
CC20,165033,165133
CC21,290722,304558
CC23,423081,420091
CC24,614354,590630
CC25,210006,196252
CC26,156102,161356
CC27,209542,208217
CC28,111311,118627
CC3,242431,234337
CC4/DT15,586985,598729
CC5,138435,142879
CC6,286919,274651
CC7,197761,207749
CC8,260083,237717
CE1/DT16,1005570,939973
CG1/DT35,466996,465940
CG2,638021,587501
DT13,319153,325076
DT17,519117,540636
DT18,422350,453530
DT2,95980,81390
DT20,181324,198113
DT21,232588,233290
DT22,288906,306177
DT23,138929,141804
DT24,161638,154660
DT25,130545,133165
DT27,287295,285697
DT28,335499,323671
DT29,229638,209683
DT3,209422,190308
DT30,252226,241847
DT31,266810,278979
DT33,542176,496653
DT34,163234,149363
DT4,56624,56441
DT5,438078,433510
DT6,222367,203541
DT7,120836,144567
DT8,164787,156626
EW1,842952,830214
EW10,343396,355044
EW11,499784,526328
EW12/DT14,1535729,1582003
EW14/NS26,1490125,1487007
EW15,1040606,1071342
EW16/NE3/TE17,964712,920817
EW17,707512,747003
EW18,519147,544325
EW19,497729,467881
EW2/DT32,1554838,1594023
EW20,388846,387235
EW21/CC22,793268,746575
EW22,297280,308151
EW23,1364301,1435586
EW24/NS1,1963233,1958920
EW25,353602,329802
EW26,1000156,898338
EW27,1306292,1537337
EW28,917331,725500
EW29,467809,481710
EW3,499957,514667
EW30,128233,115407
EW31,144068,128249
EW32,159480,156479
EW33,163661,146834
EW4,465862,433362
EW5,925184,929359
EW6,310196,354144
EW7,426030,478748
EW8/CC9,1362101,1373901
EW9,672935,679159
NE1/CC29,1367114,1354891
NE10,481856,476390
NE11,422315,433652
NE12/CC13,1667230,1719068
NE13,655694,671607
NE14,900649,862732
NE15,628936,634982
NE16/STC,1273388,1317248
NE17/PTC,1266251,1225135
NE18,230456,228486
NE4/DT19,1406602,1393006
NE5,385320,411395
NE7/DT12,822226,886277
NE8,846606,917464
NE9,701626,636009
NS10,1208706,1086144
NS11,1164573,1173220
NS12,572103,523126
NS13,1452007,1570125
NS14,1026325,914570
NS15,610136,562881
NS16,1204394,1329876
NS17/CC15,980500,623750
NS18,433285,400395
NS19,1034167,1082302
NS2,815828,874610
NS20,1101189,1084185
NS21/DT11,1588207,1653826
NS23,896913,940544
NS24/NE6/CC1,950504,881195
NS25/EW13,1375743,1364175
NS27/CE2/TE20,160582,167701
NS28,62400,60874
NS3,593628,569222
NS4/BP1,1073109,1171720
NS5,874027,846219
NS7,844892,760030
NS8,634613,492905
NS9/TE2,1570274,1877787
PE1,105822,105043
PE2,164057,156244
PE3,177996,186730
PE4,49866,49058
PE5,176076,161201
PE6,207690,202209
PE7,112929,119586
PW1,48005,59659
PW2,2717,2377
PW3,39434,36001
PW4,139134,132492
PW5,94192,103220
PW6,53661,46250
PW7,95154,105969
SE1,130910,131329
SE2,159907,152304
SE3,90864,89905
SE4,101066,99350
SE5,84854,85384
SW1,93799,96227
SW2,150095,142407
SW3,68971,64689
SW4,94937,94197
SW5,231222,216030
SW6,118518,112710
SW7,76656,70827
SW8,60934,60893
TE1,199403,165379
DT10/TE11,264607,223696
TE12,134679,137783
TE13,112386,120972
TE14/NS22,1766034,1868639
TE15,256936,270358
TE16,209096,199137
TE18,296094,286693
TE19,308751,318459
TE22,92321,132319
TE23,71816,72544
TE24,82405,81190
TE25,74222,76069
TE26,305667,300871
TE27,168630,165102
TE28,103600,113159
TE29,90956,94260
TE3,351147,324836
TE4,156539,145514
TE5,150502,150941
TE6,340417,321344
TE7,200094,196725
TE8,295243,284330
